"","myAUC","avg_diff","power","avg_logFC","pct.1","pct.2","cluster","gene","maxcell"
"ZEB2",0.745,0.397366945940224,0.49,0.397366945940226,0.966,0.832,"5","ZEB2","5"
"CD55",0.745,0.348566681754228,0.49,0.348566681754228,0.972,0.813,"5","CD55","5"
"TAF9",0.743,0.258294068134269,0.486,0.258294068134269,0.91,0.665,"5","TAF9","5"
"CLIP1",0.742,0.315943282054977,0.484,0.315943282054977,0.899,0.757,"5","CLIP1","5"
"CCL3L11",0.741,1.43425214625042,0.482,1.43425214625042,0.947,0.702,"5","CCL3L1","5"
"DUSP61",0.741,0.621482882511721,0.482,0.621482882511721,0.868,0.666,"5","DUSP6","5"
"NOD2",0.741,0.250326471649745,0.482,0.250326471649745,0.801,0.514,"5","NOD2","5"
"THAP2",0.74,0.653126946788124,0.48,0.653126946788124,0.843,0.777,"5","THAP2","5"
"CD44",0.739,0.376965028380189,0.478,0.37696502838019,0.989,0.865,"5","CD44","5"
"RB1CC1",0.738,0.367648832561871,0.476,0.367648832561872,0.947,0.756,"5","RB1CC1","5"
"PHLDA2",0.735,0.76603126956023,0.47,0.766031269560229,0.879,0.736,"5","PHLDA2","5"
"ARHGEF2",0.735,0.351993471522158,0.47,0.351993471522158,0.871,0.665,"5","ARHGEF2","5"
"WTAP",0.732,0.39811656199553,0.464,0.398116561995528,0.944,0.829,"5","WTAP","5"
"RAB21",0.732,0.311112366440325,0.464,0.311112366440327,0.975,0.798,"5","RAB21","5"
"STX11",0.731,0.426304778734499,0.462,0.426304778734499,0.871,0.698,"5","STX11","5"
"CCL4",0.73,0.835059763065959,0.46,0.83505976306596,0.916,0.653,"5","CCL4","5"
"IRAK3",0.73,0.352218617134731,0.46,0.352218617134731,0.809,0.495,"5","IRAK3","5"
"FLNA",0.73,0.310784746012269,0.46,0.310784746012269,0.91,0.723,"5","FLNA","5"
"ITGAX",0.729,0.313808422668337,0.458,0.313808422668335,0.958,0.733,"5","ITGAX","5"
"KLHL21",0.729,0.304241511015336,0.458,0.304241511015338,0.874,0.715,"5","KLHL21","5"
"ARL8B1",0.726,0.400184889568027,0.452,0.400184889568027,0.843,0.6,"5","ARL8B","5"
"PPP1R15B",0.726,0.346797328028705,0.452,0.346797328028706,0.868,0.606,"5","PPP1R15B","5"
"SLC7A5",0.725,0.423982310389166,0.45,0.423982310389166,0.851,0.75,"5","SLC7A5","5"
"SIPA1L1",0.725,0.42305807773876,0.45,0.42305807773876,0.84,0.603,"5","SIPA1L1","5"
"CSGALNACT2",0.725,0.356941619264088,0.45,0.356941619264088,0.89,0.737,"5","CSGALNACT2","5"
"SLC25A37",0.725,0.300983764526664,0.45,0.300983764526664,0.949,0.839,"5","SLC25A37","5"
"ASAP1",0.725,0.287077780805103,0.45,0.287077780805103,0.874,0.697,"5","ASAP1","5"
"LYZ",0.724,0.45486770964282,0.448,0.454867709642822,0.986,0.764,"5","LYZ","5"
"ERN1",0.724,0.443745876735596,0.448,0.443745876735597,0.868,0.667,"5","ERN1","5"
"NBPF19",0.724,0.391252597244932,0.448,0.391252597244932,0.84,0.717,"5","NBPF19","5"
"PTGS2",0.723,0.803875753320419,0.446,0.803875753320419,0.829,0.689,"5","PTGS2","5"
"SLC2A6",0.722,0.478309728365131,0.444,0.478309728365131,0.753,0.579,"5","SLC2A6","5"
"SPATA13",0.722,0.38704466988348,0.444,0.38704466988348,0.801,0.622,"5","SPATA13","5"
"MAP3K81",0.721,0.323162115567625,0.442,0.323162115567625,0.955,0.802,"5","MAP3K8","5"
"LYPD3",0.719,0.492113642854646,0.438,0.492113642854647,0.739,0.492,"5","LYPD3","5"
"BTBD7",0.719,0.265575588619446,0.438,0.265575588619447,0.834,0.61,"5","BTBD7","5"
"IL1RN",0.714,0.39077474326779,0.428,0.390774743267791,0.831,0.556,"5","IL1RN","5"
"HBP1",0.714,0.262801067872351,0.428,0.262801067872351,0.91,0.711,"5","HBP1","5"
"DSE1",0.713,0.319728951903629,0.426,0.319728951903627,0.921,0.788,"5","DSE","5"
"SERTAD2",0.71,0.366903328309723,0.42,0.366903328309724,0.809,0.613,"5","SERTAD2","5"
"SERPINB8",0.708,0.33934307890888,0.416,0.33934307890888,0.787,0.626,"5","SERPINB8","5"
"EIF1B",0.708,0.329395517039484,0.416,0.329395517039485,0.837,0.612,"5","EIF1B","5"
"TNIP3",0.703,0.416538343899702,0.406,0.416538343899703,0.747,0.671,"5","TNIP3","5"
"TMEM189",0.702,0.335545403243967,0.404,0.335545403243967,0.742,0.461,"5","TMEM189","5"
"VAPA",0.702,0.304305470831843,0.404,0.304305470831844,0.888,0.67,"5","VAPA","5"
"SESTD1",0.701,0.314962582043986,0.402,0.314962582043987,0.831,0.711,"5","SESTD1","5"
"KCNE1",0.701,0.267333227512782,0.402,0.267333227512782,0.725,0.474,"5","KCNE1","5"
"VCAN",0.81,1.9747045766294,0.62,1.9747045766294,0.683,0.077,"5","VCAN","5"
"S100A10",0.79,0.89052877541112,0.58,0.890528775411122,0.955,0.501,"5","S100A10","5"
"CD48",0.768,0.657959303581963,0.536,0.657959303581963,0.772,0.219,"5","CD48","5"
"S100A4",0.767,0.849999494490814,0.534,0.849999494490814,0.919,0.504,"5","S100A4","5"
"OLR1",0.757,0.828730318492971,0.514,0.828730318492972,0.787,0.28,"5","OLR1","5"
"ATP2B1",0.755,0.847639254450189,0.51,0.847639254450189,0.834,0.364,"5","ATP2B1","5"
"TKT",0.747,0.686290945719137,0.494,0.686290945719136,0.761,0.281,"5","TKT","5"
"TSPO",0.742,0.620056674016307,0.484,0.620056674016308,0.831,0.354,"5","TSPO","5"
"SLC11A1",0.741,0.749505253603662,0.482,0.749505253603663,0.744,0.227,"5","SLC11A1","5"
"ANPEP",0.741,0.637006798196656,0.482,0.637006798196656,0.705,0.211,"5","ANPEP","5"
"STXBP2",0.739,0.670862568836312,0.478,0.670862568836312,0.663,0.192,"5","STXBP2","5"
"FGR",0.738,0.511208123600426,0.476,0.511208123600426,0.66,0.165,"5","FGR","5"
"SLC2A3",0.732,0.537257997572653,0.464,0.537257997572652,0.851,0.39,"5","SLC2A3","5"
"EHD1",0.731,0.552799243722173,0.462,0.552799243722174,0.736,0.251,"5","EHD1","5"
"GSTO1",0.731,0.397542618280427,0.462,0.397542618280426,0.854,0.373,"5","GSTO1","5"
"LGALS2",0.727,1.03480037668043,0.454,1.03480037668043,0.551,0.1,"5","LGALS2","5"
"NACA",0.726,0.50312936347448,0.452,0.503129363474479,0.983,0.59,"5","NACA","5"
"COTL1",0.723,0.520343208833707,0.446,0.520343208833707,0.921,0.491,"5","COTL1","5"
"PFDN5",0.723,0.460920030671874,0.446,0.460920030671872,0.975,0.563,"5","PFDN5","5"
"CFP",0.722,0.818127561373578,0.444,0.818127561373578,0.52,0.072,"5","CFP","5"
"EIF3K",0.719,0.349171708362826,0.438,0.349171708362827,0.831,0.362,"5","EIF3K","5"
"BACH1",0.719,0.309179566042637,0.438,0.309179566042636,0.683,0.221,"5","BACH1","5"
"ZNF385A",0.718,0.532470934572906,0.436,0.532470934572905,0.607,0.174,"5","ZNF385A","5"
"FXYD5",0.717,0.402584577278998,0.434,0.402584577278999,0.826,0.349,"5","FXYD5","5"
"ITGA5",0.715,0.526939982379067,0.43,0.526939982379067,0.626,0.19,"5","ITGA5","5"
"TNFRSF1B",0.714,0.483335774975309,0.428,0.48333577497531,0.862,0.419,"5","TNFRSF1B","5"
"PGLS",0.713,0.399052034156061,0.426,0.39905203415606,0.646,0.21,"5","PGLS","5"
"LDLR",0.712,0.734861275834606,0.424,0.734861275834606,0.497,0.07,"5","LDLR","5"
"ACSL1",0.712,0.493507043397791,0.424,0.493507043397792,0.708,0.265,"5","ACSL1","5"
"ATP5MC2",0.711,0.412964291857166,0.422,0.412964291857166,0.854,0.41,"5","ATP5MC2","5"
"AP1S2",0.709,0.519261746736293,0.418,0.519261746736293,0.64,0.227,"5","AP1S2","5"
"SAMSN1",0.707,0.401653567993181,0.414,0.401653567993181,0.761,0.336,"5","SAMSN1","5"
"SH3BGRL3",0.706,0.471290523342275,0.412,0.471290523342274,0.958,0.671,"5","SH3BGRL3","5"
"HCST",0.706,0.427592286463333,0.412,0.427592286463334,0.756,0.318,"5","HCST","5"
"PCBP2",0.704,0.291183995873584,0.408,0.291183995873586,0.834,0.368,"5","PCBP2","5"
"PLP2",0.703,0.508984665614726,0.406,0.508984665614726,0.567,0.159,"5","PLP2","5"
"ANXA2",0.703,0.354994693316762,0.406,0.354994693316763,0.921,0.464,"5","ANXA2","5"
"LTA4H",0.702,0.576304568876015,0.404,0.576304568876014,0.522,0.118,"5","LTA4H","5"
"CCR7",0.938,2.2426901650303,0.876,2.2426901650303,0.991,0.832,"6","CCR7","6"
"CCR6",0.935,0.449197689049243,0.87,0.449197689049243,0.978,0.71,"6","CCR6","6"
"TVP23A",0.935,0.425281160447471,0.87,0.425281160447471,0.956,0.456,"6","TVP23A","6"
"TFPI",0.921,0.538099126757247,0.842,0.538099126757247,0.987,0.534,"6","TFPI","6"
"DAPP1",0.92,1.35497912326473,0.84,1.35497912326473,0.983,0.729,"6","DAPP1","6"
"NUTM2B-AS1",0.917,0.674164632119926,0.834,0.674164632119927,0.974,0.747,"6","NUTM2B-AS1","6"
"FGFR1OP",0.914,0.384226677481207,0.828,0.384226677481207,0.939,0.476,"6","FGFR1OP","6"
"ZNF165",0.914,0.370957744135186,0.828,0.370957744135185,0.996,0.899,"6","ZNF165","6"
"OFD1",0.906,0.751374843730101,0.812,0.751374843730101,0.978,0.631,"6","OFD1","6"
"SLC30A5",0.906,0.296973042311133,0.812,0.296973042311133,0.969,0.682,"6","SLC30A5","6"
"REL",0.903,1.51729372237525,0.806,1.51729372237525,1,0.782,"6","REL","6"
"RAB9A",0.903,0.732105241271338,0.806,0.732105241271337,0.996,0.617,"6","RAB9A","6"
"AP1S3",0.899,0.423591030654136,0.798,0.423591030654136,0.956,0.701,"6","AP1S3","6"
"SEMA7A",0.896,0.542443913097238,0.792,0.542443913097238,0.961,0.627,"6","SEMA7A","6"
"C2orf49",0.893,0.310166518416784,0.786,0.310166518416783,0.974,0.587,"6","C2orf49","6"
"SH3PXD2A",0.893,0.264683974453275,0.786,0.264683974453275,0.978,0.59,"6","SH3PXD2A","6"
"ANKRD33B",0.892,0.48736653533327,0.784,0.48736653533327,0.926,0.674,"6","ANKRD33B","6"
"TCTN3",0.891,0.340538904856588,0.782,0.340538904856588,0.943,0.494,"6","TCTN3","6"
"CCL22",0.885,1.19143291144306,0.77,1.19143291144306,0.9,0.667,"6","CCL22","6"
"RAB29",0.885,0.438644669557413,0.77,0.438644669557413,0.952,0.575,"6","RAB29","6"
"EMSY",0.882,0.276443873926511,0.764,0.276443873926511,0.917,0.506,"6","EMSY","6"
"OPTN",0.88,0.414831450654345,0.76,0.414831450654344,0.983,0.592,"6","OPTN","6"
"TNFRSF18",0.879,0.460752183871812,0.758,0.460752183871811,0.965,0.691,"6","TNFRSF18","6"
"RNF220",0.879,0.375063080533999,0.758,0.375063080533999,0.952,0.45,"6","RNF220","6"
"UBTF",0.877,0.360092377546088,0.754,0.360092377546088,0.961,0.441,"6","UBTF","6"
"DIS3",0.875,0.464725785032738,0.75,0.464725785032738,0.974,0.654,"6","DIS3","6"
"SLC9A7",0.875,0.360277924308192,0.75,0.360277924308191,0.934,0.72,"6","SLC9A7","6"
"CLECL1",0.871,0.688382286395717,0.742,0.688382286395717,0.9,0.538,"6","CLECL1","6"
"NIP7",0.87,0.374108851452985,0.74,0.374108851452985,0.961,0.604,"6","NIP7","6"
"COX20",0.87,0.348893400945258,0.74,0.348893400945258,0.974,0.539,"6","COX20","6"
"STK4",0.869,1.12660894242408,0.738,1.12660894242408,0.978,0.781,"6","STK4","6"
"CASP7",0.869,0.328599193503122,0.738,0.328599193503122,0.926,0.518,"6","CASP7","6"
"CHST12",0.867,0.26246206956841,0.734,0.26246206956841,0.952,0.593,"6","CHST12","6"
"ITGB81",0.865,0.468602273819498,0.73,0.468602273819498,0.965,0.73,"6","ITGB8","6"
"SRP19",0.865,0.44248214345325,0.73,0.442482143453249,0.996,0.656,"6","SRP19","6"
"TES",0.864,0.765895118711643,0.728,0.765895118711644,0.974,0.841,"6","TES","6"
"IRF4",0.863,0.827002444940167,0.726,0.827002444940167,0.913,0.58,"6","IRF4","6"
"CTTNBP2NL",0.863,0.500713276740696,0.726,0.500713276740696,0.943,0.427,"6","CTTNBP2NL","6"
"HOMER2",0.863,0.292689698710624,0.726,0.292689698710624,0.904,0.61,"6","HOMER2","6"
"DPP8",0.862,0.267223647027634,0.724,0.267223647027634,0.939,0.575,"6","DPP8","6"
"BIRC3",0.861,1.41412565014992,0.722,1.41412565014992,0.987,0.739,"6","BIRC3","6"
"XYLT1",0.861,0.287974055904162,0.722,0.287974055904162,0.965,0.827,"6","XYLT1","6"
"HIST3H2A1",0.86,0.591505501102813,0.72,0.591505501102813,0.961,0.706,"6","HIST3H2A","6"
"AC092803.2",0.86,0.29760880657362,0.72,0.29760880657362,0.961,0.553,"6","AC092803.2","6"
"RUNX31",0.859,1.09543492092131,0.718,1.09543492092131,0.948,0.766,"6","RUNX3","6"
"FOXP1",0.859,0.897373291990763,0.718,0.897373291990763,0.974,0.758,"6","FOXP1","6"
"RALA",0.859,0.834840778026656,0.718,0.834840778026656,0.943,0.553,"6","RALA","6"
"ETV31",0.858,0.88705963764691,0.716,0.88705963764691,0.943,0.642,"6","ETV3","6"
"SINHCAF",0.858,0.631992046978264,0.716,0.631992046978264,0.908,0.497,"6","SINHCAF","6"
"SACS",0.858,0.394515792921283,0.716,0.394515792921283,0.956,0.733,"6","SACS","6"
"AC100786.1",0.858,0.295256925383951,0.716,0.295256925383951,0.913,0.529,"6","AC100786.1","6"
"G3BP2",0.855,0.756449077274561,0.71,0.75644907727456,0.996,0.692,"6","G3BP2","6"
"HBS1L",0.855,0.339378819923584,0.71,0.339378819923584,0.961,0.626,"6","HBS1L","6"
"ARL2BP",0.855,0.271188244541859,0.71,0.271188244541859,0.956,0.49,"6","ARL2BP","6"
"AC245297.31",0.855,0.255073393578533,0.71,0.255073393578532,0.983,0.712,"6","AC245297.3","6"
"SERPINB91",0.853,1.01247319396445,0.706,1.01247319396445,0.983,0.788,"6","SERPINB9","6"
"GPBP1",0.853,0.907460749355257,0.706,0.907460749355256,0.996,0.735,"6","GPBP1","6"
"KYNU1",0.853,0.771424716084011,0.706,0.771424716084011,0.983,0.514,"6","KYNU","6"
"TRIM52",0.853,0.25903732138726,0.706,0.25903732138726,0.886,0.411,"6","TRIM52","6"
"MIR155HG1",0.852,1.29609897191192,0.704,1.29609897191191,0.983,0.733,"6","MIR155HG","6"
"GPR157",0.852,0.942809582543006,0.704,0.942809582543006,0.869,0.599,"6","GPR157","6"
"RAB11FIP1",0.852,0.870785939041406,0.704,0.870785939041405,0.961,0.729,"6","RAB11FIP1","6"
"TMEM120B",0.852,0.663095802438639,0.704,0.663095802438639,0.948,0.697,"6","TMEM120B","6"
"C12orf45",0.851,0.668811877468575,0.702,0.668811877468574,0.956,0.571,"6","C12orf45","6"
"HUWE1",0.851,0.4670862745291,0.702,0.4670862745291,0.974,0.754,"6","HUWE1","6"
"GARS1",0.851,0.460747025487082,0.702,0.460747025487082,0.978,0.597,"6","GARS","6"
"TLE1",0.851,0.252736036988604,0.702,0.252736036988603,0.917,0.641,"6","TLE1","6"
"PNO1",0.85,0.40923866747048,0.7,0.40923866747048,0.93,0.598,"6","PNO1","6"
"PTPN1",0.849,1.00693548926873,0.698,1.00693548926873,0.952,0.578,"6","PTPN1","6"
"MTHFR",0.849,0.47427554694213,0.698,0.47427554694213,0.926,0.541,"6","MTHFR","6"
"ANKLE2",0.847,0.610522639354032,0.694,0.610522639354033,0.974,0.722,"6","ANKLE2","6"
"ARPC5L1",0.847,0.47164958887454,0.694,0.471649588874539,0.983,0.7,"6","ARPC5L","6"
"AL121944.1",0.847,0.357099534193925,0.694,0.357099534193924,0.978,0.747,"6","AL121944.1","6"
"AC144652.11",0.847,0.326639594511969,0.694,0.326639594511969,0.978,0.625,"6","AC144652.1","6"
"RUBCN",0.846,0.379249203696626,0.692,0.379249203696626,0.913,0.62,"6","RUBCN","6"
"TSPAN13",0.845,0.67787089028444,0.69,0.67787089028444,0.878,0.346,"6","TSPAN13","6"
"RBM39",0.843,0.777266986887796,0.686,0.777266986887796,0.991,0.727,"6","RBM39","6"
"FNBP11",0.842,0.862069223185131,0.684,0.862069223185132,0.983,0.675,"6","FNBP1","6"
"AC058791.1",0.842,0.802295652494535,0.684,0.802295652494535,0.952,0.733,"6","AC058791.1","6"
"PIKFYVE",0.842,0.559281288460924,0.684,0.559281288460924,0.952,0.669,"6","PIKFYVE","6"
"PDE7A",0.842,0.426615632210449,0.684,0.426615632210449,0.956,0.724,"6","PDE7A","6"
"NDE1",0.842,0.276205151856646,0.684,0.276205151856647,0.948,0.703,"6","NDE1","6"
"ARID1B1",0.841,0.709431005299672,0.682,0.709431005299672,0.961,0.636,"6","ARID1B","6"
"MYO1G1",0.841,0.626182620109865,0.682,0.626182620109864,0.934,0.577,"6","MYO1G","6"
"ST8SIA4",0.84,0.656356957677514,0.68,0.656356957677513,0.956,0.61,"6","ST8SIA4","6"
"HAX1",0.84,0.353241028143103,0.68,0.353241028143103,0.974,0.689,"6","HAX1","6"
"TNFAIP81",0.839,0.806751095769954,0.678,0.806751095769954,0.987,0.702,"6","TNFAIP8","6"
"LRRFIP2",0.839,0.66959617442911,0.678,0.66959617442911,0.965,0.709,"6","LRRFIP2","6"
"TENT4A",0.839,0.30834046166693,0.678,0.30834046166693,0.93,0.72,"6","TENT4A","6"
"MAGOH",0.838,0.380521352598192,0.676,0.380521352598192,0.996,0.605,"6","MAGOH","6"
"DENND4A",0.837,0.705974916090352,0.674,0.705974916090352,0.943,0.673,"6","DENND4A","6"
"PTGIR",0.837,0.523235394161293,0.674,0.523235394161293,0.856,0.472,"6","PTGIR","6"
"ATP1B32",0.835,1.02534593460911,0.67,1.02534593460911,0.996,0.795,"6","ATP1B3","6"
"PPP1R14A",0.835,0.269567067960355,0.67,0.269567067960355,0.921,0.756,"6","PPP1R14A","6"
"RBM17",0.834,0.592583148277101,0.668,0.592583148277102,0.965,0.635,"6","RBM17","6"
"ATXN7L3B",0.834,0.345154173487007,0.668,0.345154173487007,0.895,0.508,"6","ATXN7L3B","6"
"POLR2J3.1",0.833,0.538952141585405,0.666,0.538952141585405,0.934,0.709,"6","POLR2J3.1","6"
"CDC42EP4",0.833,0.291300332187091,0.666,0.291300332187091,0.939,0.581,"6","CDC42EP4","6"
"MALT1",0.832,0.851733389160357,0.664,0.851733389160357,0.895,0.51,"6","MALT1","6"
"NDUFV2",0.832,0.547603522904526,0.664,0.547603522904527,0.978,0.629,"6","NDUFV2","6"
"ISG20L2",0.83,0.413815019684795,0.66,0.413815019684795,0.939,0.595,"6","ISG20L2","6"
"TMEM87A",0.83,0.30203897690662,0.66,0.30203897690662,0.93,0.457,"6","TMEM87A","6"
"RAD51C",0.83,0.293163800118653,0.66,0.293163800118652,0.921,0.6,"6","RAD51C","6"
"U2AF1L4",0.83,0.252263407719717,0.66,0.252263407719716,0.869,0.368,"6","U2AF1L4","6"
"HECTD11",0.829,0.420659215249917,0.658,0.420659215249917,0.9,0.484,"6","HECTD1","6"
"CCDC50",0.828,0.628096439728703,0.656,0.628096439728703,0.934,0.589,"6","CCDC50","6"
"GLS1",0.827,0.849676687094387,0.654,0.849676687094388,0.978,0.715,"6","GLS","6"
"TARS",0.826,0.458717141794768,0.652,0.458717141794769,0.948,0.73,"6","TARS","6"
"SELPLG",0.826,0.301125108116682,0.652,0.301125108116681,0.895,0.399,"6","SELPLG","6"
"VIM-AS11",0.826,0.284921037953249,0.652,0.284921037953248,0.961,0.791,"6","VIM-AS1","6"
"HLA-DQB11",0.825,0.72216776167586,0.65,0.722167761675859,0.987,0.678,"6","HLA-DQB1","6"
"RFTN1",0.825,0.570015980460031,0.65,0.570015980460031,0.917,0.684,"6","RFTN1","6"
"CHST2",0.825,0.435133820447873,0.65,0.435133820447872,0.908,0.633,"6","CHST2","6"
"STARD41",0.825,0.291745713326631,0.65,0.29174571332663,0.991,0.75,"6","STARD4","6"
"EZR1",0.824,0.884795994266434,0.648,0.884795994266434,0.978,0.746,"6","EZR","6"
