"","myAUC","avg_diff","power","avg_logFC","pct.1","pct.2","cluster","gene","maxcell"
"AMPD2",0.722,0.291092080361831,0.444,0.29109208036183,0.766,0.58,"8","AMPD2","8"
"XIAP",0.72,0.362333718682122,0.44,0.362333718682123,0.876,0.669,"8","XIAP","8"
"PITPNA",0.72,0.29344915053562,0.44,0.293449150535619,0.807,0.629,"8","PITPNA","8"
"EIF4E2",0.72,0.292292723574984,0.44,0.292292723574983,0.841,0.645,"8","EIF4E2","8"
"PFDN4",0.72,0.255648103128026,0.44,0.255648103128027,0.834,0.577,"8","PFDN4","8"
"ZFR",0.719,0.29041827507985,0.438,0.29041827507985,0.855,0.658,"8","ZFR","8"
"RAB21",0.718,0.576514616946496,0.436,0.576514616946497,0.945,0.832,"8","RAB21","8"
"CLEC11A",0.718,0.362497100708169,0.436,0.362497100708169,0.683,0.494,"8","CLEC11A","8"
"CDK17",0.718,0.315584574519217,0.436,0.315584574519217,0.841,0.671,"8","CDK17","8"
"PPIL4",0.717,0.55954294357266,0.434,0.559542943572659,0.897,0.727,"8","PPIL4","8"
"SYNJ2",0.717,0.369961226182026,0.434,0.369961226182029,0.862,0.716,"8","SYNJ2","8"
"NDUFC2",0.716,0.502962525902304,0.432,0.502962525902303,0.91,0.706,"8","NDUFC2","8"
"CCNI",0.716,0.475009141723367,0.432,0.475009141723365,0.972,0.862,"8","CCNI","8"
"SOS1",0.716,0.324569028607679,0.432,0.324569028607679,0.8,0.605,"8","SOS1","8"
"MED1",0.716,0.283691427069907,0.432,0.283691427069908,0.869,0.629,"8","MED1","8"
"GLRX3",0.716,0.282386155314045,0.432,0.282386155314046,0.807,0.615,"8","GLRX3","8"
"PPP1R12B",0.716,0.279316977034445,0.432,0.279316977034445,0.738,0.547,"8","PPP1R12B","8"
"MDM2",0.716,0.272682699818655,0.432,0.272682699818654,0.883,0.691,"8","MDM2","8"
"CYTH3",0.716,0.250944379536898,0.432,0.250944379536899,0.793,0.657,"8","CYTH3","8"
"SPPL2A",0.715,0.495752329864989,0.43,0.49575232986499,0.897,0.763,"8","SPPL2A","8"
"CLIC1",0.715,0.479449641231193,0.43,0.479449641231199,0.952,0.863,"8","CLIC1","8"
"INSIG2",0.715,0.363041198221637,0.43,0.363041198221637,0.828,0.645,"8","INSIG2","8"
"TIMM8B",0.715,0.318339326332715,0.43,0.318339326332716,0.876,0.679,"8","TIMM8B","8"
"KMT5B",0.715,0.302338341693432,0.43,0.302338341693432,0.8,0.551,"8","KMT5B","8"
"CHMP2B",0.714,0.428857617383013,0.428,0.428857617383014,0.91,0.715,"8","CHMP2B","8"
"RAI1",0.714,0.333526325917093,0.428,0.333526325917093,0.759,0.597,"8","RAI1","8"
"ZNF721",0.714,0.329641894711071,0.428,0.329641894711066,0.841,0.563,"8","ZNF721","8"
"PCDH9",0.713,1.04426890241515,0.426,1.04426890241514,0.683,0.496,"8","PCDH9","8"
"NDUFB2",0.713,0.60184164673217,0.426,0.601841646732174,0.924,0.762,"8","NDUFB2","8"
"TRIM27",0.713,0.268783757577503,0.426,0.268783757577503,0.745,0.495,"8","TRIM27","8"
"DHRS31",0.712,0.499229071761767,0.424,0.499229071761766,0.779,0.717,"8","DHRS3","8"
"SLC39A8",0.712,0.422017609738992,0.424,0.422017609738992,0.786,0.612,"8","SLC39A8","8"
"ZC3H7A",0.712,0.272556866874826,0.424,0.272556866874826,0.869,0.685,"8","ZC3H7A","8"
"PTPN22",0.711,0.644190048092503,0.422,0.644190048092508,0.931,0.731,"8","PTPN22","8"
"NDUFA4",0.711,0.531679069010427,0.422,0.531679069010427,0.966,0.826,"8","NDUFA4","8"
"JMY",0.711,0.511449781721978,0.422,0.511449781721981,0.883,0.681,"8","JMY","8"
