"","myAUC","avg_diff","power","avg_logFC","pct.1","pct.2","cluster","gene","maxcell"
"ARL13B",0.701,0.679008266987537,0.402,0.679008266987536,0.578,0.21,"4","ARL13B","4"
"CTSL",0.701,0.582651869624165,0.402,0.582651869624167,0.803,0.488,"4","CTSL","4"
"MORF4L2",0.701,0.395339729038913,0.402,0.395339729038914,0.786,0.476,"4","MORF4L2","4"
"LRP1",0.701,0.356593019083457,0.402,0.356593019083457,0.847,0.431,"4","LRP1","4"
"JCHAIN",0.805,2.21065053323233,0.61,2.21065053323233,0.866,0.74,"5","JCHAIN","5"
"HCST",0.805,1.27684024338656,0.61,1.27684024338656,0.746,0.482,"5","HCST","5"
"IGLC2",0.788,3.37040985458968,0.576,3.37040985458968,0.884,0.737,"5","IGLC2","5"
"TRBC2",0.768,1.39618198377106,0.536,1.39618198377106,0.759,0.671,"5","TRBC2","5"
"CCL20",0.758,1.83117797214594,0.516,1.83117797214594,0.841,0.867,"5","CCL20","5"
"CCL3",0.752,1.6487572570074,0.504,1.6487572570074,0.772,0.578,"5","CCL3","5"
"TMSB4X",0.749,0.787012573328519,0.498,0.78701257332852,0.978,0.985,"5","TMSB4X","5"
"GPR183",0.748,1.0658561536887,0.496,1.0658561536887,0.806,0.838,"5","GPR183","5"
"LAPTM5",0.736,1.20610770241606,0.472,1.20610770241606,0.763,0.797,"5","LAPTM5","5"
"HLA-DRA",0.73,1.94593907823516,0.46,1.94593907823516,0.737,0.524,"5","HLA-DRA","5"
"DUSP21",0.727,1.12366659822224,0.454,1.12366659822224,0.767,0.589,"5","DUSP2","5"
"CLEC2B",0.709,1.0397035589607,0.418,1.0397035589607,0.776,0.503,"5","CLEC2B","5"
"KRT19",0.906,1.35617551443615,0.812,1.35617551443615,0.966,0.387,"6","KRT19","6"
"CENPW",0.9,1.18127205108036,0.8,1.18127205108036,1,0.542,"6","CENPW","6"
"EEF1A11",0.867,0.914265766481885,0.734,0.914265766481885,1,0.994,"6","EEF1A1","6"
"PTTG1",0.862,1.42892879401078,0.724,1.42892879401078,0.989,0.531,"6","PTTG1","6"
"CXCL3",0.855,1.00680199230771,0.71,1.00680199230771,0.989,0.479,"6","CXCL3","6"
"CSNK1G2",0.843,1.30075371386075,0.686,1.30075371386075,1,0.498,"6","CSNK1G2","6"
"PI161",0.823,2.05151268204776,0.646,2.05151268204776,0.977,0.407,"6","PI16","6"
"EIF2S3",0.805,1.55468777020901,0.61,1.55468777020901,1,0.631,"6","EIF2S3","6"
"CFD1",0.797,0.901586954822503,0.594,0.901586954822502,1,0.605,"6","CFD","6"
"LY96",0.793,1.04975890309789,0.586,1.04975890309789,0.977,0.425,"6","LY96","6"
"TPT11",0.791,0.697515135665228,0.582,0.697515135665227,1,0.988,"6","TPT1","6"
"FTL1",0.787,0.844896291013245,0.574,0.844896291013243,1,0.985,"6","FTL","6"
"CKS2",0.786,1.44523189888639,0.572,1.44523189888639,0.989,0.585,"6","CKS2","6"
"PRSS231",0.775,1.07319284253712,0.55,1.07319284253712,1,0.808,"6","PRSS23","6"
"RARRES11",0.759,1.26467735856763,0.518,1.26467735856763,1,0.596,"6","RARRES1","6"
"FBLN22",0.743,1.55357242097443,0.486,1.55357242097443,1,0.574,"6","FBLN2","6"
"GDI2",0.74,1.35598265864435,0.48,1.35598265864435,1,0.593,"6","GDI2","6"
"NOP53",0.737,1.14184795504294,0.474,1.14184795504294,1,0.787,"6","NOP53","6"
"RGCC",0.736,1.06349753975691,0.472,1.06349753975691,0.989,0.705,"6","RGCC","6"
"MED10",0.727,1.27533251839635,0.454,1.27533251839635,1,0.561,"6","MED10","6"
"PGLS",0.718,1.25711855890692,0.436,1.25711855890692,0.955,0.559,"6","PGLS","6"
"SPON2",0.715,1.11065715070133,0.43,1.11065715070133,1,0.56,"6","SPON2","6"
"NUCB1",0.701,1.00359828879178,0.402,1.00359828879178,1,0.675,"6","NUCB1","6"
"SFRP21",0.785,0.924863056764246,0.57,0.924863056764246,0.83,0.358,"6","SFRP2","6"
"S100A101",0.709,1.30627946000436,0.418,1.30627946000436,0.67,0.477,"6","S100A10","6"
"APOD1",0.958,2.69633717196258,0.916,2.69633717196257,1,0.681,"7","APOD","7"
"PTGDS2",0.925,2.31763829636874,0.85,2.31763829636874,1,0.761,"7","PTGDS","7"
"S100B1",0.91,0.915812549159285,0.82,0.915812549159285,0.958,0.587,"7","S100B","7"
"PHGDH",0.875,1.05935229060052,0.75,1.05935229060052,0.931,0.462,"7","PHGDH","7"
"SYTL4",0.858,1.1727150241267,0.716,1.1727150241267,0.889,0.371,"7","SYTL4","7"
"ARL31",0.844,1.0457242308022,0.688,1.0457242308022,0.972,0.559,"7","ARL3","7"
"CST3",0.838,1.36971217444369,0.676,1.3697121744437,0.944,0.927,"7","CST3","7"
"VPS26A",0.838,1.31304265328669,0.676,1.31304265328669,0.958,0.539,"7","VPS26A","7"
"S100A6",0.836,1.03751432399446,0.672,1.03751432399445,1,0.968,"7","S100A6","7"
"CHN1",0.836,1.03453646282382,0.672,1.03453646282381,0.958,0.639,"7","CHN1","7"
"MRAS",0.833,1.46179041337337,0.666,1.46179041337337,0.944,0.685,"7","MRAS","7"
"ZNF32",0.828,1.06001992869153,0.656,1.06001992869153,0.889,0.448,"7","ZNF32","7"
"NARS",0.825,1.36145316936889,0.65,1.36145316936889,0.917,0.447,"7","NARS","7"
"AAMP",0.824,0.827994071844067,0.648,0.827994071844067,0.958,0.603,"7","AAMP","7"
"SERF2",0.809,1.22444420264565,0.618,1.22444420264566,0.958,0.944,"7","SERF2","7"
"IFI27L2",0.789,0.957485781163933,0.578,0.957485781163934,0.972,0.792,"7","IFI27L2","7"
"SUMO3",0.788,1.01638951281507,0.576,1.01638951281507,0.958,0.702,"7","SUMO3","7"
"FAM200B",0.788,0.961226551671501,0.576,0.961226551671502,0.944,0.627,"7","FAM200B","7"
"MTIF3",0.787,1.1060316763894,0.574,1.1060316763894,0.958,0.612,"7","MTIF3","7"
"C19orf53",0.782,1.4173073298168,0.564,1.4173073298168,0.944,0.704,"7","C19orf53","7"
"METTL9",0.781,1.06642140238745,0.562,1.06642140238745,0.944,0.566,"7","METTL9","7"
"SMIM19",0.78,0.802077096378653,0.56,0.802077096378654,0.972,0.536,"7","SMIM19","7"
"INMT1",0.774,0.837683176450558,0.548,0.837683176450557,0.861,0.564,"7","INMT","7"
"RAB34",0.77,1.22894223771097,0.54,1.22894223771097,0.931,0.567,"7","RAB34","7"
"GRHPR",0.767,0.957483240964217,0.534,0.957483240964217,0.958,0.615,"7","GRHPR","7"
"ITGB1BP1",0.766,0.85045949537953,0.532,0.850459495379529,0.917,0.567,"7","ITGB1BP1","7"
"C1QTNF1",0.764,0.883933870052186,0.528,0.883933870052187,0.931,0.698,"7","C1QTNF1","7"
"LZIC",0.761,0.824721135271207,0.522,0.824721135271208,0.903,0.574,"7","LZIC","7"
"ATRAID",0.759,1.36940747780847,0.518,1.36940747780846,0.875,0.659,"7","ATRAID","7"
"ANAPC16",0.757,1.22248365032774,0.514,1.22248365032774,0.958,0.613,"7","ANAPC16","7"
"ADD31",0.757,1.06186537744972,0.514,1.06186537744972,0.931,0.798,"7","ADD3","7"
"ZNHIT1",0.757,0.931418658007756,0.514,0.931418658007756,0.944,0.529,"7","ZNHIT1","7"
"POLR2E",0.757,0.488110447518825,0.514,0.488110447518826,0.944,0.644,"7","POLR2E","7"
"ABLIM1",0.756,1.06875583105094,0.512,1.06875583105094,0.806,0.427,"7","ABLIM1","7"
"DAZAP2",0.751,0.859360650389606,0.502,0.859360650389607,0.972,0.784,"7","DAZAP2","7"
"PRDX5",0.743,1.34517228596072,0.486,1.34517228596072,0.917,0.699,"7","PRDX5","7"
"SELENBP1",0.743,0.782720887457708,0.486,0.782720887457708,0.903,0.626,"7","SELENBP1","7"
"TMSB101",0.74,1.38986233397727,0.48,1.38986233397727,1,0.97,"7","TMSB10","7"
"FTH11",0.738,0.791580703475508,0.476,0.791580703475508,0.986,0.986,"7","FTH1","7"
"ABHD17A",0.735,0.724806652540866,0.47,0.724806652540867,0.931,0.639,"7","ABHD17A","7"
"B2M1",0.735,0.52974209162175,0.47,0.529742091621748,1,0.993,"7","B2M","7"
"LGALS1",0.734,0.784875385528635,0.468,0.784875385528634,0.986,0.947,"7","LGALS1","7"
"SIL1",0.733,0.65204832419845,0.466,0.652048324198451,0.903,0.612,"7","SIL1","7"
