"","myAUC","avg_diff","power","avg_logFC","pct.1","pct.2","cluster","gene","maxcell"
"TLK1",0.796,0.398837503742658,0.592,0.398837503742658,0.988,0.768,"7","TLK1","7"
"ENTPD41",0.796,0.381585560812947,0.592,0.381585560812947,0.976,0.85,"7","ENTPD4","7"
"KIAA20261",0.796,0.373940299467821,0.592,0.373940299467821,0.994,0.605,"7","KIAA2026","7"
"DSG2",0.795,0.633032344391249,0.59,0.633032344391248,0.841,0.383,"7","DSG2","7"
"FAIM",0.794,0.585856075771656,0.588,0.585856075771656,0.829,0.533,"7","FAIM","7"
"CNOT4",0.794,0.570032982493869,0.588,0.570032982493869,0.965,0.886,"7","CNOT4","7"
"TRNT1",0.793,0.475692900311842,0.586,0.475692900311842,0.824,0.587,"7","TRNT1","7"
"TFDP1",0.793,0.265564725946765,0.586,0.265564725946765,0.988,0.746,"7","TFDP1","7"
"NRP2",0.79,0.764392479753845,0.58,0.764392479753847,0.894,0.907,"7","NRP2","7"
"COMMD41",0.79,0.365868401636698,0.58,0.365868401636698,0.906,0.364,"7","COMMD4","7"
"CDC42BPB1",0.789,0.489914449076575,0.578,0.489914449076576,0.859,0.444,"7","CDC42BPB","7"
"GAS2L1",0.789,0.285649965286211,0.578,0.285649965286211,0.812,0.638,"7","GAS2L1","7"
"TANC21",0.788,0.33705204205491,0.576,0.337052042054909,0.976,0.896,"7","TANC2","7"
"ABHD14A",0.788,0.329623731894919,0.576,0.329623731894918,0.735,0.453,"7","ABHD14A","7"
"TFG",0.787,0.546386016118874,0.574,0.546386016118872,0.953,0.529,"7","TFG","7"
"C12orf65",0.787,0.446082215760777,0.574,0.446082215760776,0.929,0.759,"7","C12orf65","7"
"MAGOHB",0.787,0.284118974094218,0.574,0.284118974094218,0.906,0.417,"7","MAGOHB","7"
"ZNF800",0.786,0.516859213343741,0.572,0.516859213343742,0.918,0.852,"7","ZNF800","7"
"R3HDM21",0.786,0.504450327377222,0.572,0.504450327377222,0.982,0.727,"7","R3HDM2","7"
"RMND5A",0.786,0.380466837300263,0.572,0.380466837300263,0.953,0.872,"7","RMND5A","7"
"RPP21",0.785,0.47103707515075,0.57,0.471037075150751,0.882,0.796,"7","RPP21","7"
"KIF3A",0.785,0.3045126382553,0.57,0.304512638255299,0.935,0.595,"7","KIF3A","7"
"PMEPA1",0.784,1.05302089602839,0.568,1.05302089602839,0.953,0.894,"7","PMEPA1","7"
"TMEM1091",0.784,0.37651891967848,0.568,0.37651891967848,0.906,0.526,"7","TMEM109","7"
"TUSC1",0.784,0.339065957111993,0.568,0.339065957111993,0.824,0.816,"7","TUSC1","7"
"CYTH2",0.782,0.457828513015271,0.564,0.457828513015271,0.971,0.76,"7","CYTH2","7"
"SUPT20H",0.782,0.333003583286421,0.564,0.333003583286422,0.871,0.705,"7","SUPT20H","7"
"HACD2",0.782,0.321420816701313,0.564,0.321420816701314,0.976,0.574,"7","HACD2","7"
"UIMC1",0.781,0.338874364319781,0.562,0.338874364319782,0.859,0.642,"7","UIMC1","7"
"IQCE",0.78,0.347572388832115,0.56,0.347572388832115,0.929,0.452,"7","IQCE","7"
"PPP3CA",0.78,0.344611110295175,0.56,0.344611110295175,0.971,0.888,"7","PPP3CA","7"
"PCNA",0.778,0.290732553463022,0.556,0.290732553463022,0.912,0.62,"7","PCNA","7"
"ANAPC51",0.777,0.663347957383468,0.554,0.663347957383469,0.982,0.758,"7","ANAPC5","7"
"LCOR1",0.777,0.562081472853693,0.554,0.562081472853693,0.924,0.751,"7","LCOR","7"
"CSNK2A1",0.777,0.51643382244933,0.554,0.516433822449329,0.906,0.567,"7","CSNK2A1","7"
"HTATIP2",0.777,0.491130529200115,0.554,0.491130529200114,0.994,0.706,"7","HTATIP2","7"
"THOC7",0.777,0.430819051483199,0.554,0.430819051483198,0.888,0.487,"7","THOC7","7"
"SRRT1",0.777,0.419377076176556,0.554,0.419377076176557,0.982,0.753,"7","SRRT","7"
"CDK61",0.777,0.304601362039147,0.554,0.304601362039148,0.947,0.866,"7","CDK6","7"
"SLC38A10",0.777,0.28115720976448,0.554,0.281157209764481,0.953,0.537,"7","SLC38A10","7"
"CITED42",0.776,0.5069943771176,0.552,0.5069943771176,0.947,0.844,"7","CITED4","7"
"FLAD11",0.776,0.324115937403113,0.552,0.324115937403114,0.882,0.677,"7","FLAD1","7"
"ATP6V0B",0.775,0.943250595067006,0.55,0.943250595067008,0.912,0.577,"7","ATP6V0B","7"
"CASC31",0.775,0.385500999159582,0.55,0.385500999159582,0.829,0.601,"7","CASC3","7"
"GIGYF1",0.774,0.360836991463425,0.548,0.360836991463425,0.912,0.714,"7","GIGYF1","7"
"SERPINH1",0.774,0.349640073182776,0.548,0.349640073182776,0.935,0.76,"7","SERPINH1","7"
"CMTR1",0.774,0.27320328595226,0.548,0.27320328595226,0.835,0.601,"7","CMTR1","7"
"RBBP6",0.773,0.641488972918857,0.546,0.641488972918857,0.941,0.636,"7","RBBP6","7"
"CDS2",0.773,0.28509631089464,0.546,0.28509631089464,0.947,0.895,"7","CDS2","7"
"PLIN3",0.773,0.256521978781314,0.546,0.256521978781314,0.935,0.472,"7","PLIN3","7"
"CTSE",0.772,1.24400119749571,0.544,1.24400119749571,0.729,0.476,"7","CTSE","7"
"CD2AP1",0.772,0.558866221736813,0.544,0.558866221736813,0.959,0.661,"7","CD2AP","7"
"MRM2",0.772,0.323020382969245,0.544,0.323020382969245,0.824,0.596,"7","MRM2","7"
"TP53BP2",0.771,0.747782447652745,0.542,0.747782447652745,0.982,0.97,"7","TP53BP2","7"
"SLC8B11",0.771,0.519008220486907,0.542,0.519008220486908,0.853,0.566,"7","SLC8B1","7"
"PLEKHA1",0.771,0.483613431396597,0.542,0.483613431396597,0.994,0.626,"7","PLEKHA1","7"
"CHCHD3",0.771,0.421539614045914,0.542,0.421539614045915,0.841,0.614,"7","CHCHD3","7"
