"","myAUC","avg_diff","power","avg_logFC","pct.1","pct.2","cluster","gene","maxcell"
"TMOD1",0.851,0.296493775987293,0.702,0.296493775987293,0.87,0.47,"5","TMOD1","5"
"GCH1",0.843,0.482216700315219,0.686,0.482216700315218,0.935,0.631,"5","GCH1","5"
"MARCH3",0.841,0.766650575577866,0.682,0.766650575577866,0.92,0.565,"5","MARCH3","5"
"REP15",0.828,0.281760949850899,0.656,0.281760949850899,0.84,0.404,"5","REP15","5"
"C1QTNF1",0.827,0.460122553269988,0.654,0.460122553269988,0.875,0.555,"5","C1QTNF1","5"
"EPB41",0.827,0.322490439746645,0.654,0.322490439746645,0.84,0.402,"5","EPB41","5"
"ACKR11",0.826,1.23605175111395,0.652,1.23605175111395,0.97,0.734,"5","ACKR1","5"
"ARNTL2",0.825,0.260318646823546,0.65,0.260318646823546,0.845,0.434,"5","ARNTL2","5"
"ICAM1",0.816,1.07189471067738,0.632,1.07189471067738,0.975,0.738,"5","ICAM1","5"
"TFPI1",0.811,0.878595354320472,0.622,0.878595354320473,0.98,0.802,"5","TFPI","5"
"BAZ1A",0.808,0.889412465965051,0.616,0.88941246596505,0.975,0.774,"5","BAZ1A","5"
"PDLIM1",0.806,0.743934712028989,0.612,0.743934712028988,0.96,0.799,"5","PDLIM1","5"
"CYTH1",0.805,0.898360395636298,0.61,0.898360395636299,0.96,0.652,"5","CYTH1","5"
"NUPR1",0.805,0.539814804061905,0.61,0.539814804061906,0.875,0.697,"5","NUPR1","5"
"IL1R11",0.8,0.853265452455386,0.6,0.853265452455387,0.95,0.704,"5","IL1R1","5"
"AKAP12",0.799,1.25029378831947,0.598,1.25029378831947,0.885,0.571,"5","AKAP12","5"
"HINT3",0.799,0.516849799605278,0.598,0.516849799605278,0.845,0.534,"5","HINT3","5"
"PLIN2",0.798,1.06423150078277,0.596,1.06423150078277,0.925,0.651,"5","PLIN2","5"
"CNKSR3",0.797,1.04366216080288,0.594,1.04366216080288,0.89,0.541,"5","CNKSR3","5"
"CXCL8",0.796,1.40422563889226,0.592,1.40422563889226,0.885,0.504,"5","CXCL8","5"
"GBP2",0.796,0.670686068365916,0.592,0.670686068365916,0.96,0.799,"5","GBP2","5"
"SDCBP",0.794,0.60536587243879,0.588,0.60536587243879,0.98,0.848,"5","SDCBP","5"
"ANKRD42",0.794,0.273745067409265,0.588,0.273745067409265,0.89,0.609,"5","ANKRD42","5"
"SOD2",0.792,1.14427777137565,0.584,1.14427777137565,0.94,0.799,"5","SOD2","5"
"VCAM1",0.788,1.25373696948225,0.576,1.25373696948225,0.86,0.554,"5","VCAM1","5"
"HLA-DRB11",0.786,0.807902114122832,0.572,0.807902114122831,0.925,0.623,"5","HLA-DRB1","5"
"KDELC2",0.786,0.268260377745143,0.572,0.268260377745144,0.845,0.476,"5","KDELC2","5"
"RRN3",0.785,0.290435087272671,0.57,0.290435087272671,0.85,0.556,"5","RRN3","5"
"KANK1",0.784,0.652535288102446,0.568,0.652535288102446,0.8,0.405,"5","KANK1","5"
"PALLD",0.782,0.258781072710766,0.564,0.258781072710766,0.88,0.679,"5","PALLD","5"
"ADIRF",0.781,0.804247711734642,0.562,0.804247711734641,0.98,0.875,"5","ADIRF","5"
"CLU1",0.78,0.974457496242472,0.56,0.974457496242472,0.945,0.714,"5","CLU","5"
"CD59",0.779,0.620814500252312,0.558,0.62081450025231,0.99,0.909,"5","CD59","5"
"HLA-DRA1",0.778,0.751380415124745,0.556,0.751380415124745,0.955,0.832,"5","HLA-DRA","5"
"HLA-DPA11",0.777,0.791922637422913,0.554,0.791922637422913,0.94,0.817,"5","HLA-DPA1","5"
"PRPSAP1",0.777,0.405965049717383,0.554,0.405965049717382,0.905,0.663,"5","PRPSAP1","5"
"ITGAV",0.776,0.777703692231986,0.552,0.777703692231985,0.945,0.736,"5","ITGAV","5"
"NPM1",0.776,0.754633801349712,0.552,0.754633801349713,0.96,0.814,"5","NPM1","5"
"C21orf91",0.776,0.44884901708123,0.552,0.44884901708123,0.885,0.695,"5","C21orf91","5"
"CLEC2B",0.774,0.824112636116662,0.548,0.824112636116662,0.935,0.806,"5","CLEC2B","5"
"HLA-DPB1",0.774,0.706753946514403,0.548,0.706753946514403,0.94,0.807,"5","HLA-DPB1","5"
"AGO3",0.774,0.582386331792731,0.548,0.582386331792731,0.92,0.608,"5","AGO3","5"
"MET",0.772,0.580456797642485,0.544,0.580456797642485,0.885,0.576,"5","MET","5"
"BAIAP2",0.772,0.393011344420341,0.544,0.393011344420342,0.93,0.628,"5","BAIAP2","5"
"ARMCX1",0.771,0.303886079688897,0.542,0.303886079688897,0.91,0.652,"5","ARMCX1","5"
"FBLN2",0.768,0.506636730139062,0.536,0.506636730139062,0.91,0.686,"5","FBLN2","5"
"APOL6",0.768,0.452065169695446,0.536,0.452065169695448,0.92,0.778,"5","APOL6","5"
"GNL2",0.768,0.402504106783096,0.536,0.402504106783096,0.85,0.519,"5","GNL2","5"
"ZNF385D1",0.767,0.811340614465641,0.534,0.811340614465639,0.925,0.807,"5","ZNF385D","5"
"TNFRSF10B",0.765,0.658162404446095,0.53,0.658162404446094,0.93,0.624,"5","TNFRSF10B","5"
"ARMC5",0.765,0.274079404208262,0.53,0.274079404208262,0.775,0.422,"5","ARMC5","5"
"SEPT11",0.764,0.543635302931656,0.528,0.543635302931656,0.87,0.5,"5","SEPT11","5"
"DENND4A",0.761,0.566378340372397,0.522,0.566378340372397,0.925,0.671,"5","DENND4A","5"
"LTBP2",0.76,0.291950961403825,0.52,0.291950961403825,0.84,0.65,"5","LTBP2","5"
"CARD6",0.759,0.283608852134621,0.518,0.283608852134621,0.9,0.646,"5","CARD6","5"
"TBC1D12",0.758,0.293817628391296,0.516,0.293817628391296,0.855,0.586,"5","TBC1D12","5"
"SGTA",0.758,0.280368256150744,0.516,0.280368256150744,0.87,0.493,"5","SGTA","5"
"SLC4A7",0.757,0.760363736187046,0.514,0.760363736187046,0.85,0.583,"5","SLC4A7","5"
"ACKR3",0.756,0.691316338545771,0.512,0.691316338545771,0.86,0.615,"5","ACKR3","5"
"THUMPD3-AS1",0.756,0.415538948666975,0.512,0.415538948666976,0.945,0.659,"5","THUMPD3-AS1","5"
"PLPP3",0.755,0.851297157922476,0.51,0.851297157922476,0.895,0.706,"5","PLPP3","5"
"CANT1",0.754,0.331702482541206,0.508,0.331702482541207,0.88,0.717,"5","CANT1","5"
"HNRNPA1",0.752,0.534641474986493,0.504,0.53464147498649,0.98,0.867,"5","HNRNPA1","5"
"BLOC1S6",0.752,0.528907635709975,0.504,0.528907635709976,0.935,0.721,"5","BLOC1S6","5"
"TRIM25",0.752,0.418112969499293,0.504,0.418112969499294,0.905,0.701,"5","TRIM25","5"
"ELL2",0.752,0.411775325498385,0.504,0.411775325498385,0.805,0.415,"5","ELL2","5"
"ARID5B",0.751,0.641589292965639,0.502,0.641589292965641,0.95,0.833,"5","ARID5B","5"
"ZBTB43",0.75,0.603326830807991,0.5,0.603326830807991,0.88,0.581,"5","ZBTB43","5"
"EBNA1BP2",0.75,0.380905166854331,0.5,0.380905166854331,0.855,0.612,"5","EBNA1BP2","5"
"ANXA1",0.749,0.580662546442913,0.498,0.580662546442913,0.97,0.884,"5","ANXA1","5"
"TSPYL1",0.749,0.322288087048453,0.498,0.322288087048453,0.91,0.651,"5","TSPYL1","5"
"RAB8B",0.747,0.568543318449794,0.494,0.568543318449794,0.85,0.544,"5","RAB8B","5"
"TNFSF9",0.747,0.255333411695348,0.494,0.255333411695348,0.9,0.679,"5","TNFSF9","5"
"C2CD4B",0.745,0.932579116010488,0.49,0.932579116010488,0.965,0.841,"5","C2CD4B","5"
"PBDC1",0.745,0.486866941487469,0.49,0.486866941487469,0.795,0.457,"5","PBDC1","5"
"CLIC2",0.744,0.526461141150426,0.488,0.526461141150426,0.955,0.749,"5","CLIC2","5"
"ANKRD12",0.743,0.658809525203651,0.486,0.658809525203651,0.97,0.884,"5","ANKRD12","5"
