"","myAUC","avg_diff","power","avg_logFC","pct.1","pct.2","cluster","gene","maxcell"
"INSIG1",0.733,0.324670897856799,0.466,0.324670897856799,0.945,0.836,"3","INSIG1","3"
"TCP11L2",0.732,0.361307207108462,0.464,0.361307207108462,0.87,0.621,"3","TCP11L2","3"
"CD83",0.731,0.726608601677908,0.462,0.726608601677904,0.997,0.91,"3","CD83","3"
"NFKBID",0.731,0.658376393018065,0.462,0.658376393018063,0.977,0.809,"3","NFKBID","3"
"SLAMF6",0.731,0.429126934434232,0.462,0.429126934434232,0.748,0.444,"3","SLAMF6","3"
"CXCR4",0.73,0.69972683193919,0.46,0.69972683193919,0.994,0.868,"3","CXCR4","3"
"ARCN1",0.73,0.327734007871846,0.46,0.327734007871845,0.945,0.732,"3","ARCN1","3"
"CD37",0.729,0.531915715731675,0.458,0.531915715731677,0.97,0.848,"3","CD37","3"
"EIF4H",0.728,0.428540470129192,0.456,0.428540470129191,0.954,0.708,"3","EIF4H","3"
"PTMA",0.727,0.490919928204354,0.454,0.490919928204354,1,0.976,"3","PTMA","3"
"CHMP4B",0.727,0.485740044978606,0.454,0.485740044978606,0.979,0.926,"3","CHMP4B","3"
"ZDBF2",0.727,0.321413312873953,0.454,0.321413312873953,0.744,0.451,"3","ZDBF2","3"
"CNIH1",0.727,0.29894681291768,0.454,0.298946812917678,0.968,0.776,"3","CNIH1","3"
"CCDC93",0.726,0.274417518861798,0.452,0.274417518861798,0.903,0.661,"3","CCDC93","3"
"SYAP1",0.725,0.558055492546043,0.45,0.558055492546043,0.948,0.834,"3","SYAP1","3"
"CD79A",0.724,0.576715966732247,0.448,0.57671596673225,0.961,0.866,"3","CD79A","3"
"DUSP5",0.724,0.266943923169748,0.448,0.266943923169749,0.918,0.803,"3","DUSP5","3"
"GCA",0.723,0.281634943189481,0.446,0.281634943189481,0.899,0.665,"3","GCA","3"
"C9orf72",0.723,0.264422264946949,0.446,0.264422264946949,0.804,0.595,"3","C9orf72","3"
"TMED8",0.723,0.256250775072966,0.446,0.256250775072966,0.796,0.495,"3","TMED8","3"
"GRK5",0.722,0.357417685687595,0.444,0.357417685687595,0.924,0.783,"3","GRK5","3"
"CLEC2D",0.721,0.864238222625918,0.442,0.864238222625919,0.906,0.798,"3","CLEC2D","3"
"ATP6AP2",0.721,0.332445170290153,0.442,0.332445170290154,0.897,0.7,"3","ATP6AP2","3"
"NRDE2",0.721,0.260347583483085,0.442,0.260347583483085,0.868,0.595,"3","NRDE2","3"
"SNRPD1",0.72,0.452231513896943,0.44,0.452231513896945,0.965,0.826,"3","SNRPD1","3"
"DMXL1",0.719,0.378292312402162,0.438,0.378292312402162,0.828,0.588,"3","DMXL1","3"
"PPP4R3B",0.719,0.371120629419711,0.438,0.371120629419712,0.851,0.58,"3","PPP4R3B","3"
"MARCKSL1",0.717,0.571549320674368,0.434,0.571549320674368,0.973,0.828,"3","MARCKSL1","3"
"TNFRSF14",0.716,0.48236006195253,0.432,0.482360061952529,0.873,0.596,"3","TNFRSF14","3"
"NOC2L",0.716,0.359407539520187,0.432,0.359407539520187,0.924,0.662,"3","NOC2L","3"
"ZFYVE16",0.716,0.268430561920217,0.432,0.268430561920218,0.915,0.732,"3","ZFYVE16","3"
"FOXP1",0.715,0.743113573936348,0.43,0.743113573936346,0.976,0.809,"3","FOXP1","3"
"FAM32A",0.715,0.359695303226128,0.43,0.359695303226128,0.87,0.664,"3","FAM32A","3"
"HLA-DOB",0.715,0.283277955554284,0.43,0.283277955554283,0.742,0.39,"3","HLA-DOB","3"
"BTLA",0.714,0.4496147195657,0.428,0.4496147195657,0.776,0.619,"3","BTLA","3"
"TPP1",0.713,0.33244874134018,0.426,0.332448741340182,0.966,0.76,"3","TPP1","3"
"NDUFV2",0.712,0.558371780968896,0.424,0.558371780968897,0.98,0.886,"3","NDUFV2","3"
"SFT2D1",0.712,0.362372822628695,0.424,0.362372822628694,0.962,0.843,"3","SFT2D1","3"
"AC025164.1",0.711,0.519146562435245,0.422,0.519146562435245,0.839,0.547,"3","AC025164.1","3"
"LEPROTL1",0.711,0.269889905808178,0.422,0.269889905808178,0.838,0.616,"3","LEPROTL1","3"
"H3F3A",0.71,0.534811062473433,0.42,0.534811062473437,1,0.939,"3","H3F3A","3"
"IFNAR1",0.71,0.438981720562534,0.42,0.438981720562535,0.9,0.754,"3","IFNAR1","3"
"RASGRP3",0.71,0.327213128270858,0.42,0.327213128270858,0.923,0.772,"3","RASGRP3","3"
"CLNS1A",0.709,0.42462460402267,0.418,0.42462460402267,0.807,0.5,"3","CLNS1A","3"
"TMEM123",0.708,0.709413462168263,0.416,0.709413462168264,0.883,0.804,"3","TMEM123","3"
"IFITM2",0.708,0.543926791212972,0.416,0.543926791212973,0.961,0.746,"3","IFITM2","3"
"IFNGR1",0.708,0.430370936255278,0.416,0.430370936255279,0.935,0.713,"3","IFNGR1","3"
"GDI2",0.707,0.571324984840373,0.414,0.571324984840373,0.945,0.758,"3","GDI2","3"
"SNRNP27",0.707,0.272130866847348,0.414,0.272130866847348,0.848,0.571,"3","SNRNP27","3"
"REV3L",0.706,0.347482157548706,0.412,0.347482157548706,0.921,0.699,"3","REV3L","3"
"NFX1",0.706,0.334270668693736,0.412,0.334270668693735,0.932,0.75,"3","NFX1","3"
"SAP30BP",0.706,0.307307192700896,0.412,0.307307192700896,0.935,0.721,"3","SAP30BP","3"
"BANP",0.706,0.258878062066334,0.412,0.258878062066334,0.839,0.608,"3","BANP","3"
"NFKB1",0.704,0.4927334417764,0.408,0.4927334417764,0.986,0.918,"3","NFKB1","3"
"RUNX1",0.704,0.252157594850813,0.408,0.252157594850814,0.78,0.61,"3","RUNX1","3"
"TCL1A",0.703,0.724727129516721,0.406,0.724727129516721,0.706,0.488,"3","TCL1A","3"
"HLA-DQA2",0.703,0.623350484675166,0.406,0.623350484675168,1,0.914,"3","HLA-DQA2","3"
"HIF1A",0.703,0.465750213767338,0.406,0.465750213767335,0.934,0.743,"3","HIF1A","3"
"LSM2",0.703,0.287999624563413,0.406,0.287999624563412,0.944,0.697,"3","LSM2","3"
"HMGB1",0.701,0.607520788297407,0.402,0.607520788297409,0.999,0.937,"3","HMGB1","3"
"PPCS",0.701,0.377538459323422,0.402,0.377538459323422,0.824,0.606,"3","PPCS","3"
"TSPAN13",0.701,0.360530106214133,0.402,0.360530106214133,0.892,0.774,"3","TSPAN13","3"
"STAT1",0.701,0.294392036992386,0.402,0.294392036992388,0.896,0.759,"3","STAT1","3"
"FCER2",0.724,1.42134196279387,0.448,1.42134196279387,0.506,0.074,"3","FCER2","3"
"SSR4",0.895,1.98770076430464,0.79,1.98770076430464,0.976,0.883,"4","SSR4","4"
"JCHAIN",0.888,2.97046907929144,0.776,2.97046907929144,0.985,0.91,"4","JCHAIN","4"
"MZB1",0.864,1.88853170883519,0.728,1.88853170883519,0.903,0.659,"4","MZB1","4"
"FKBP11",0.772,1.28428668190632,0.544,1.28428668190632,0.82,0.696,"4","FKBP11","4"
"DERL3",0.743,1.4007907282175,0.486,1.4007907282175,0.745,0.597,"4","DERL3","4"
"PRDX4",0.736,1.06760924432181,0.472,1.06760924432181,0.835,0.823,"4","PRDX4","4"
"IGLC3",0.729,2.90715715461722,0.458,2.90715715461722,0.837,0.736,"4","IGLC3","4"
"NUCB2",0.717,0.671749350196682,0.434,0.671749350196683,0.79,0.822,"4","NUCB2","4"
"PDIA4",0.713,0.378642373860803,0.426,0.378642373860804,0.728,0.599,"4","PDIA4","4"
"IGHG4",0.709,2.158097602331,0.418,2.15809760233101,0.763,0.672,"4","IGHG4","4"
"ITGA6",0.765,0.622342863177987,0.53,0.622342863177987,0.938,0.855,"5","ITGA6","5"
"RRBP11",0.749,1.63667568010291,0.498,1.63667568010291,0.899,0.682,"5","RRBP1","5"
"ERN1",0.728,0.912114540388655,0.456,0.912114540388655,0.833,0.653,"5","ERN1","5"
"TXNDC51",0.711,0.465421994221866,0.422,0.465421994221867,0.678,0.4,"5","TXNDC5","5"
"XBP1",0.707,1.4206138708508,0.414,1.4206138708508,0.574,0.234,"5","XBP1","5"
"IGHG1",0.704,1.58577121175709,0.408,1.58577121175709,0.647,0.354,"5","IGHG1","5"
