"","myAUC","avg_diff","power","avg_logFC","pct.1","pct.2","cluster","gene","maxcell"
"SCML1",0.746,0.338052136565503,0.492,0.338052136565503,0.938,0.621,"5","SCML1","5"
"NUDCD3",0.743,0.410491481343387,0.486,0.410491481343387,0.922,0.531,"5","NUDCD3","5"
"SFSWAP",0.743,0.350120478772818,0.486,0.350120478772818,0.984,0.672,"5","SFSWAP","5"
"INPPL1",0.742,0.35263257894122,0.484,0.35263257894122,0.984,0.533,"5","INPPL1","5"
"ZNF397",0.738,0.456629371553517,0.476,0.456629371553517,1,0.765,"5","ZNF397","5"
"NBPF14",0.727,0.389303793616031,0.454,0.389303793616032,1,0.798,"5","NBPF14","5"
"CHSY1",0.726,0.397312473776804,0.452,0.397312473776804,1,0.663,"5","CHSY1","5"
"SPEN",0.724,0.278717197009984,0.448,0.278717197009984,1,0.861,"5","SPEN","5"
"TIMM23",0.723,0.360379994486963,0.446,0.360379994486963,0.984,0.692,"5","TIMM23","5"
"ARHGAP4",0.718,0.469314961904267,0.436,0.469314961904267,0.953,0.606,"5","ARHGAP4","5"
"MAP1A",0.715,0.324611540420662,0.43,0.324611540420662,0.984,0.781,"5","MAP1A","5"
"CHD3",0.715,0.28658514373188,0.43,0.28658514373188,1,0.793,"5","CHD3","5"
"TBC1D5",0.714,0.40502476388768,0.428,0.40502476388768,0.984,0.59,"5","TBC1D5","5"
"TNS1",0.712,0.555385346257799,0.424,0.555385346257799,0.969,0.649,"5","TNS1","5"
"RUNX1",0.712,0.364001285428271,0.424,0.364001285428271,0.938,0.49,"5","RUNX1","5"
"FBXL3",0.709,0.489927716950408,0.418,0.489927716950408,0.969,0.663,"5","FBXL3","5"
"AL662844.4",0.709,0.309950060904878,0.418,0.309950060904879,0.906,0.521,"5","AL662844.4","5"
"CDC73",0.709,0.25218584083297,0.418,0.25218584083297,1,0.805,"5","CDC73","5"
"UCHL5",0.704,0.323723516465172,0.408,0.323723516465172,0.969,0.736,"5","UCHL5","5"
"AMZ2",0.703,0.261316304778394,0.406,0.261316304778394,0.938,0.572,"5","AMZ2","5"
"MPV17",0.702,0.501204154719428,0.404,0.501204154719428,0.859,0.583,"5","MPV17","5"
"TMX3",0.701,0.471691069240871,0.402,0.471691069240871,0.938,0.628,"5","TMX3","5"
"CTDSPL2",0.701,0.257659234907791,0.402,0.257659234907791,0.969,0.734,"5","CTDSPL2","5"
"IGKC",0.933,1.4006150991834,0.866,1.4006150991834,0.969,0.314,"5","IGKC","5"
"TPSAB1",0.895,1.23718148252983,0.79,1.23718148252983,1,0.921,"5","TPSAB1","5"
"IGHG3",0.885,1.69167933712304,0.77,1.69167933712304,0.859,0.147,"5","IGHG3","5"
"TSC22D3",0.839,1.15684961253233,0.678,1.15684961253233,0.953,0.608,"5","TSC22D3","5"
"AREG",0.832,1.26554265677259,0.664,1.26554265677259,0.922,0.404,"5","AREG","5"
"B2M",0.824,0.632601394884206,0.648,0.632601394884206,1,0.999,"5","B2M","5"
"HLA-C",0.819,0.88811687988349,0.638,0.888116879883491,0.969,0.8,"5","HLA-C","5"
"TPSB2",0.813,0.659635326126064,0.626,0.659635326126064,1,0.987,"5","TPSB2","5"
"RGS2",0.81,1.01503147964297,0.62,1.01503147964297,0.969,0.797,"5","RGS2","5"
"SLC26A2",0.797,1.13289521143564,0.594,1.13289521143564,0.781,0.329,"5","SLC26A2","5"
